Frame,Age,AgeGrp,Gender ,Postcode,Edu Level,Ethnicity,Religion,Religious,Marital Status,Children,Risk Perception,WillCOV,WillPf,WillAsZ ,VAX,VAXmistrust,VAXfuture,VAXcomm,VAXnatural,BIS,BAS
Negative,19,1,1,2134,2,1,2,1,6,2,3,4,4,3,2.916666667,4,3.333333333,3,1.333333333,3.285714286,2.692307692
Negative,20,1,1,6055,4,1,2,1,4,1,3,2,3,4,3.5,2.666666667,3.333333333,3.666666667,4.333333333,2.428571429,2.769230769
Negative,21,1,1,3029,2,5,4,1,6,2,2,2,1,1,2.916666667,4.333333333,2.333333333,2.666666667,2.333333333,2.857142857,2.461538462
Negative,22,1,1,2108,4,1,2,1,6,2,1,5,5,5,1.5,1,2,1,2,2.857142857,3.615384615
Negative,23,1,1,4671,2,1,6,0,2,2,4,4,4,4,3.75,3.666666667,3,4.333333333,4,2.571428571,2.692307692
Negative,23,1,1,4503,2,1,6,0,2,2,5,4,5,1,3.5,3.333333333,5,3.333333333,2.333333333,2.857142857,2.846153846
Negative,23,1,1,2206,4,10,2,1,6,2,3,3,3,3,3.333333333,3,3.666666667,3.666666667,3,2.285714286,2.076923077
Negative,27,1,1,2000,4,1,2,1,1,2,3,4,4,4,2.916666667,1.666666667,3.333333333,3,3.666666667,2.571428571,3.230769231
Negative,31,1,1,6060,4,1,6,0,2,2,2,5,5,2,1.916666667,1.666666667,3.333333333,1.333333333,1.333333333,2.857142857,3.076923077
Negative,31,1,1,3146,3,9,6,0,1,1,5,4,4,5,3.583333333,2,4.333333333,3.666666667,4.333333333,3,3.153846154
Negative,32,1,1,3350,3,1,6,0,6,2,4,4,4,3,3.166666667,2.666666667,3.333333333,3.333333333,3.333333333,3,3.153846154
Negative,34,1,1,5207,3,1,6,0,1,1,4,4,4,1,3.5,3,3.666666667,3.333333333,4,2.571428571,3
Negative,34,1,1,5006,6,2,6,0,1,1,4,4,4,3,2.333333333,2,3.333333333,2,2,3.285714286,3.076923077
Negative,38,1,1,2112,5,2,2,1,1,1,2,5,5,4,4.083333333,1.666666667,4.333333333,5,5.333333333,2.285714286,3.307692308
Negative,21,1,2,4303,2,1,6,0,6,2,2,3,3,3,3.166666667,4,3,2.666666667,3,2.857142857,2.615384615
Negative,23,1,2,3810,2,1,6,0,2,1,5,3,2,3,3.416666667,3.666666667,3.666666667,3,3.333333333,3,2.923076923
Negative,24,1,2,3184,4,1,2,1,2,2,4,5,5,1,3.666666667,3,5.666666667,3.333333333,2.666666667,2.857142857,3.230769231
Negative,26,1,2,3204,3,1,6,0,6,1,5,1,3,1,4.416666667,4,5,4.666666667,4,3,3.076923077
Negative,27,1,2,2570,2,10,2,1,2,1,3,1,1,1,5.416666667,6,6,5,4.666666667,2.142857143,3.384615385
Negative,28,1,2,4650,4,1,6,0,1,2,2,5,5,5,1.416666667,1,2,1.666666667,1,3.285714286,3.692307692
Negative,29,1,2,3006,2,1,6,0,1,1,4,4,5,1,3.25,1.333333333,5,3.666666667,3,3.571428571,3.230769231
Negative,30,1,2,2035,4,2,1,1,1,1,4,4,4,4,4.75,1,6,6,6,2.714285714,3.615384615
Negative,33,1,2,4701,2,2,2,1,6,1,4,4,4,1,3.666666667,3.333333333,5.333333333,3.666666667,2.333333333,3.571428571,3
Negative,34,1,2,2148,2,1,6,0,1,1,2,3,3,3,3.583333333,2.333333333,5,3,4,2,3.307692308
Negative,34,1,2,3064,4,1,2,1,1,1,2,4,4,5,2.916666667,2.666666667,4.333333333,2.666666667,2,2.428571429,3.461538462
Negative,35,1,2,4124,3,1,6,0,1,1,2,4,4,1,3.083333333,4,3.333333333,2.666666667,2.333333333,2.857142857,2.461538462
Negative,38,1,2,4503,4,1,2,1,1,1,3,3,4,3,4.166666667,2,4.666666667,4.666666667,5.333333333,2.857142857,3.230769231
Negative,39,1,2,6057,2,1,6,0,2,1,2,3,3,3,4.083333333,4.666666667,3.666666667,4,4,3,3.230769231
Negative,39,1,2,3023,4,1,6,0,6,2,1,3,4,3,3.916666667,3,4.333333333,4,4.333333333,2.571428571,2.692307692
Negative,40,2,1,2010,4,11,6,0,1,1,2,1,1,1,4.916666667,4,5.333333333,5.333333333,5,2.714285714,3
Negative,46,2,1,4164,4,6,2,1,1,1,4,5,5,3,2.75,1,4.333333333,3.333333333,2.333333333,2.571428571,3
Negative,48,2,1,2142,5,4,4,1,1,1,3,4,5,2,2.5,1,4.666666667,1,3.333333333,3.142857143,3.538461538
Negative,49,2,1,2016,3,2,1,1,4,1,5,4,4,1,3.583333333,2,5.666666667,4.333333333,2.333333333,3,3.615384615
Negative,50,2,1,2518,4,1,6,0,6,2,3,3,4,2,3.333333333,3,4,3.333333333,3,2.571428571,2.846153846
Negative,50,2,1,4300,1,10,2,1,4,1,5,3,4,2,2.833333333,2.666666667,4,2,2.666666667,2.857142857,3
Negative,52,2,1,4124,2,1,6,0,1,1,4,3,3,3,3.416666667,3.333333333,3.333333333,3.666666667,3.333333333,2.714285714,2.923076923
Negative,54,2,1,4128,3,2,6,0,1,1,3,3,4,1,4.166666667,3.333333333,5.333333333,4,4,3.142857143,2.769230769
Negative,56,2,1,3152,5,2,1,1,5,2,2,5,5,1,4.166666667,2.333333333,5.333333333,4,5,3.571428571,3.846153846
Negative,56,2,1,2190,2,10,2,1,6,2,4,3,4,2,3.166666667,2.666666667,4,3.666666667,2.333333333,2.857142857,2.692307692
Negative,58,2,1,4304,3,8,2,1,6,1,1,1,1,1,6,6,6,6,6,2.142857143,2.461538462
Negative,59,2,1,2534,3,1,6,0,1,2,2,5,5,5,2.583333333,1.333333333,4.333333333,1.666666667,3,2.571428571,3.076923077
Negative,61,2,1,3172,2,1,2,1,4,1,2,2,2,1,6,6,6,6,6,3,2.076923077
Negative,63,2,1,6210,4,1,2,1,1,1,5,4,5,1,3.083333333,2.666666667,4.333333333,3,2.333333333,2.857142857,2.538461538
Negative,64,2,1,5158,4,1,2,1,6,2,4,5,5,5,2.5,3,3,1,3,2.428571429,2.615384615
Negative,40,2,2,2155,4,4,2,1,1,1,4,4,4,1,3.5,4.666666667,4.333333333,1.333333333,3.666666667,3.142857143,3
Negative,41,2,2,2145,3,1,6,0,1,1,2,5,5,3,3.083333333,3.333333333,3.666666667,2.666666667,2.666666667,3.428571429,3.230769231
Negative,42,2,2,4405,3,1,6,0,1,1,3,4,4,4,4.75,4,5,4.666666667,5.333333333,3.285714286,3.307692308
Negative,44,2,2,4118,2,1,6,0,6,1,2,1,1,1,3.833333333,3.666666667,3.333333333,4,4.333333333,2.857142857,2.923076923
Negative,45,2,2,6061,3,1,6,0,2,1,5,2,3,1,3.583333333,4,5,3,2.333333333,3,1.769230769
Negative,45,2,2,6271,1,1,6,0,5,1,5,5,5,2,3.833333333,3,4.333333333,4,4,3,3.076923077
Negative,48,2,2,3284,3,1,2,1,2,1,4,2,5,2,4.083333333,3.666666667,5.333333333,4.666666667,2.666666667,3.714285714,2.384615385
Negative,49,2,2,6103,3,1,6,0,1,1,3,2,4,1,4.666666667,4.666666667,4,5.333333333,4.666666667,3.428571429,2.769230769
Negative,56,2,2,2640,3,1,6,0,4,1,2,3,4,1,3.25,3,5,2,3,3.428571429,3.076923077
Negative,58,2,2,7018,2,1,2,1,2,1,5,4,5,3,3.25,4.666666667,4.333333333,2.333333333,1.666666667,2.857142857,2.230769231
Negative,59,2,2,4304,3,1,2,1,6,2,3,3,2,1,3.25,4,3,3,3,3.428571429,3.076923077
Negative,63,2,2,2229,2,1,6,0,4,2,4,3,5,2,3.5,3,4,3.333333333,3.666666667,2.571428571,3.076923077
Negative,64,2,2,6025,3,1,2,1,1,1,4,2,3,1,5.25,5.333333333,6,4.333333333,5.333333333,3.571428571,2.692307692
Negative,65,3,1,2567,2,1,6,0,1,1,4,4,5,2,2.25,1.666666667,3.666666667,1,2.666666667,2.428571429,2.461538462
