ResponseId,Age,Gender ,Postcode,Edu Level,Risk Perception,WillCOV,WillPf,WillAsZ ,VAX,BIS,BAS,Frame
R_3NCeTkLbibq5uAB,30,2,2035,4,4,4,4,4,4.75,2.714285714,3.615384615,Negative
R_1ex8KvJCctxh4wN,35,2,2145,4,4,5,5,4,3,3,2.923076923,Positive
R_2QfGvXgD7rhZ7AS,23,1,4671,2,4,4,4,4,3.75,2.571428571,2.692307692,Negative
R_5hzu1pgzyr8k57H,41,2,2000,5,4,5,5,5,1.833333333,3.571428571,3.153846154,Positive
R_DuRl31WHy5dr10l,23,2,3810,2,5,3,2,3,3.416666667,3,2.923076923,Negative
R_XMPcQulVEc3nSWl,20,2,7320,2,3,4,3,3,2.916666667,3.142857143,2.846153846,Positive
R_294kXELKgvUbnIx,32,2,3810,1,4,3,3,3,4.083333333,2.428571429,2.384615385,Positive
R_3242ltvuJlGT7yW,19,2,2705,1,1,3,1,1,3.25,2.857142857,3.923076923,Positive
R_2yf2WDhvnKJlMAY,29,2,3006,2,4,4,5,1,3.25,3.571428571,3.230769231,Negative
R_2tg6jPtmrsTsxnY,32,2,3550,3,4,5,5,1,1.666666667,2.285714286,3.230769231,Positive
R_C2hA5Lis8DvO83n,40,2,2155,4,4,4,4,1,3.5,3.142857143,3,Negative
R_2OVddJkbfrITx3t,46,2,4680,3,2,1,1,1,4,2.285714286,2.692307692,Positive
R_1N82HHytLg1qKK0,28,2,4650,4,2,5,5,5,1.416666667,3.285714286,3.692307692,Negative
R_3RgDUHqAWGH0fom,28,2,3939,3,3,5,4,4,1.666666667,3.428571429,3.538461538,Positive
R_2cjwDO8nNMqOChw,28,2,4680,2,4,5,5,5,3.833333333,2.571428571,3.384615385,Positive
R_NVCcdxXfCPp25Kp,42,2,4341,2,3,4,3,3,2.5,3.142857143,2.846153846,Positive
R_3szG8J7gsJd8hOc,39,2,6057,2,2,3,3,3,4.083333333,3,3.230769231,Negative
R_1X44xgvdB1kDKBr,26,2,3204,3,5,1,3,1,4.416666667,3,3.076923077,Negative
R_2YJOC8j98KEfkoy,21,2,4303,2,2,3,3,3,3.166666667,2.857142857,2.615384615,Negative
R_ZIBiowehrZEKX3r,19,2,3549,2,2,3,3,1,4.583333333,3.285714286,3.076923077,Positive
R_2WuIefv5hBmRL8a,44,2,4118,2,2,1,1,1,3.833333333,2.857142857,2.923076923,Negative
R_3JykBwHJ9y2z3Yv,20,2,4670,3,2,3,3,3,4,2.857142857,3,Positive
R_C8t1e6AeDat3iwN,37,2,4211,1,2,4,5,1,3,3.142857143,3.538461538,Positive
R_2CTTHYmmvfkE9Gb,27,2,2154,4,3,3,4,1,3.5,4,1.615384615,Positive
R_3nDeZcQcwcbQs61,44,2,4125,3,4,1,1,1,4.583333333,3.571428571,2,Positive
R_3ikz7pXTL3uq3qZ,25,2,3875,3,4,3,3,3,3.083333333,3.428571429,3.615384615,Positive
R_2bT8LixPr3rDtfM,22,1,2108,4,1,5,5,5,1.5,2.857142857,3.615384615,Negative
R_VJgjZ1A4viXYu2J,1982,2,3023,4,1,3,4,3,3.916666667,2.571428571,2.692307692,Negative
